firstname,lastname,username,password
Altaïr,Ibn-La’Ahad,AltIbn,Linux4Ever"
Ezio,Auditore,EziAud,Linux4Ever"
Connor,Kenway,ConKen,Linux4Ever"
Edward,Kenway,EdwKen,Linux4Ever"
Desmond,Miles,DesMil,Linux4Ever"
Samus,Aran,SamAra,Linux4Ever"
Wade,Wilson,WadWil,Linux4Ever"
Duke,Nukem,DukNuk,Linux4Ever"
Doom,Guy,DooGuy,Linux4Ever"
Serious,Sam,SerSam,Linux4Ever"
Super,Mario,SupMar,Linux4Ever"
Link,Zelda,LinZel,Linux4Ever"
Point,Man,PoiMan,Linux4Ever"
Dragon,Born,DraBor,Linux4Ever"
Carl,Johnson,CarJoh,Linux4Ever"
Captain,Falcon,CapFal,Linux4Ever"
Lara,Croft,LarCro,Linux4Ever"
Jin,Kazama,JinKaz,Linux4Ever"
Ken,Masters,KenMas,Linux4Ever"
Aiden,Pearce,AidPea,Linux4Ever"
